verse,book,chapter,verse_number,theme
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
I can do all things through Christ who strengthens me.,Philippians,4,13,motivation
Trust in the Lord with all your heart and lean not on your own understanding.,Proverbs,3,5,faith
"Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go.",Joshua,1,9,motivation
The Lord is my shepherd; I shall not want.,Psalms,23,1,comfort
"For God has not given us a spirit of fear, but of power and of love and of a sound mind.",2 Timothy,1,7,courage
"We walk by faith, not by sight.",2 Corinthians,5,7,faith
But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles.,Isaiah,40,31,perseverance
"Come to me, all who labor and are heavy laden, and I will give you rest.",Matthew,11,28,comfort
"If God is for us, who can be against us?",Romans,8,31,assurance
Cast all your anxiety on Him because He cares for you.,1 Peter,5,7,comfort
